"source","dataset","n","basis","p_omega","p_boot","abs_delta_p","Bboot"
"sim","quad",500,"poly3",0.0572876305438635,0.0510510510510511,0.00623657949281244,999
"sim","binint",500,"poly3",0.737584910906262,0.726726726726727,0.0108581841795357,999
"sim","contint",1000,"poly3",0.559279649537331,0.553553553553554,0.00572609598377716,999
"sim","link",1000,"poly3",0.156787893257053,0.181181181181181,0.0243932879241283,999
"real","birthwt",189,"poly3",0.164971842852461,0.177177177177177,0.0122053343247164,999
"real","vaso",39,"poly3",0.156912261999552,0.0624370594159114,0.0944752025836408,999
"real","glow",500,"poly3",0.169426479361453,0.166166166166166,0.00326031319528661,999
