"family","n","G","test","alpha","null_size","mcse","size_ok"
"contint",200,10,"HL",0.01,0.0073,0.000851276100921434,TRUE
"contint",200,10,"HL",0.05,0.0471,0.00211852755469453,TRUE
"contint",200,10,"HL",0.1,0.1004,0.00300532593906218,TRUE
"contint",200,10,"HL-equalwidth",0.01,0.0162,0.00126244049364713,FALSE
"contint",200,10,"HL-equalwidth",0.05,0.0597,0.0023693017958884,FALSE
"contint",200,10,"HL-equalwidth",0.1,0.1069,0.0030898606764707,TRUE
"contint",200,10,"Pigeon-Heyse",0.01,0.0042,0.000646711682281989,FALSE
"contint",200,10,"Pigeon-Heyse",0.05,0.0284,0.00166112732805165,FALSE
"contint",200,10,"Pigeon-Heyse",0.1,0.0646,0.00245818713689581,FALSE
"contint",200,10,"Stukel",0.01,0.0231,0.00150221136994765,FALSE
"contint",200,10,"Stukel",0.05,0.0707,0.00256323057878139,FALSE
"contint",200,10,"Stukel",0.1,0.1168,0.0032118181766719,FALSE
"contint",200,10,"Tsiatis",0.01,0.0099,0.000990049998737437,TRUE
"contint",200,10,"Tsiatis",0.05,0.0567,0.00231268480342653,FALSE
"contint",200,10,"Tsiatis",0.1,0.1053,0.00306939586889668,TRUE
"contint",200,10,"Xie",0.01,0.0051,0.000712319450808414,FALSE
"contint",200,10,"Xie",0.05,0.0282,0.00165543831053893,FALSE
"contint",200,10,"Xie",0.1,0.0628,0.0024260288539092,FALSE
"link",200,10,"DEF.poly2",0.01,0.0098,0.000985086798206128,TRUE
"link",200,10,"DEF.poly2",0.05,0.0513,0.00220608952674183,TRUE
"link",200,10,"DEF.poly2",0.1,0.1028,0.00303697481056396,TRUE
"link",200,10,"DEF.poly3",0.01,0.0092,0.000954743944730732,TRUE
"link",200,10,"DEF.poly3",0.05,0.0502,0.00218357413430366,TRUE
"link",200,10,"DEF.poly3",0.1,0.1027,0.00303566648365725,TRUE
"link",200,10,"DEF.stukel",0.01,0.0094,0.000964968393264774,TRUE
"link",200,10,"DEF.stukel",0.05,0.0469,0.00211424667434999,TRUE
"link",200,10,"DEF.stukel",0.1,0.1011,0.00301461092016864,TRUE
"link",200,10,"EF",0.01,0.0076,0.0008684607072286,TRUE
"link",200,10,"EF",0.05,0.0428,0.00202405928766921,FALSE
"link",200,10,"EF",0.1,0.0922,0.00289308071093774,TRUE
"link",200,10,"HL",0.01,0.0078,0.000879724957017817,TRUE
"link",200,10,"HL",0.05,0.0439,0.00204872618961149,TRUE
"link",200,10,"HL",0.1,0.0918,0.00288743415509341,TRUE
"link",200,10,"HL-equalwidth",0.01,0.0109,0.00103832509360027,TRUE
"link",200,10,"HL-equalwidth",0.05,0.0494,0.0021670173049609,TRUE
"link",200,10,"HL-equalwidth",0.1,0.0994,0.00299198328872338,TRUE
"link",200,10,"Pigeon-Heyse",0.01,0.0039,0.000623280835578955,FALSE
"link",200,10,"Pigeon-Heyse",0.05,0.027,0.00162083311910881,FALSE
"link",200,10,"Pigeon-Heyse",0.1,0.0592,0.00235998644063901,FALSE
"link",200,10,"Stukel",0.01,0.0239,0.00152737650891979,FALSE
"link",200,10,"Stukel",0.05,0.0741,0.00261933560278174,FALSE
"link",200,10,"Stukel",0.1,0.1177,0.00322252556235013,FALSE
"link",200,10,"Tsiatis",0.01,0.0104,0.00101448706250992,TRUE
"link",200,10,"Tsiatis",0.05,0.049,0.0021586801523153,TRUE
"link",200,10,"Tsiatis",0.1,0.1043,0.00305649325207827,TRUE
"link",200,10,"Xie",0.01,0.0046,0.000676671264352196,FALSE
"link",200,10,"Xie",0.05,0.028,0.0016497272501841,FALSE
"link",200,10,"Xie",0.1,0.0645,0.00245641507078914,FALSE
"rough",200,10,"DEF.poly2",0.01,0.0111,0.00104770177054351,TRUE
"rough",200,10,"DEF.poly2",0.05,0.0543,0.00226608715631151,TRUE
"rough",200,10,"DEF.poly2",0.1,0.1063,0.00308221203034444,TRUE
"rough",200,10,"DEF.poly3",0.01,0.0111,0.00104770177054351,TRUE
"rough",200,10,"DEF.poly3",0.05,0.0528,0.00223633986683599,TRUE
"rough",200,10,"DEF.poly3",0.1,0.0994,0.00299198328872338,TRUE
"rough",200,10,"DEF.stukel",0.01,0.0113,0.00105699148530156,TRUE
"rough",200,10,"DEF.stukel",0.05,0.048,0.00213766227454198,TRUE
"rough",200,10,"DEF.stukel",0.1,0.099,0.00298662016332844,TRUE
"rough",200,10,"EF",0.01,0.0077,0.000874111548945557,TRUE
"rough",200,10,"EF",0.05,0.0451,0.00207523468552354,TRUE
"rough",200,10,"EF",0.1,0.097,0.00295957767257425,TRUE
"rough",200,10,"HL",0.01,0.0082,0.000901818163489736,TRUE
"rough",200,10,"HL",0.05,0.0454,0.00208179826111946,TRUE
"rough",200,10,"HL",0.1,0.0976,0.00296773044598056,TRUE
"rough",200,10,"HL-equalwidth",0.01,0.0112,0.00105235735375394,TRUE
"rough",200,10,"HL-equalwidth",0.05,0.0497,0.00217324434889407,TRUE
"rough",200,10,"HL-equalwidth",0.1,0.0977,0.00296908588626197,TRUE
"rough",200,10,"Pigeon-Heyse",0.01,0.0033,0.000573507628545602,FALSE
"rough",200,10,"Pigeon-Heyse",0.05,0.0274,0.0016324594941376,FALSE
"rough",200,10,"Pigeon-Heyse",0.1,0.0619,0.00240973836754117,FALSE
"rough",200,10,"Stukel",0.01,0.0253,0.00157034741379097,FALSE
"rough",200,10,"Stukel",0.05,0.0719,0.00258322259977726,FALSE
"rough",200,10,"Stukel",0.1,0.1198,0.00324727516542716,FALSE
"rough",200,10,"Tsiatis",0.01,0.0094,0.000964968393264774,TRUE
"rough",200,10,"Tsiatis",0.05,0.0492,0.00216285367050108,TRUE
"rough",200,10,"Tsiatis",0.1,0.0994,0.00299198328872338,TRUE
"rough",200,10,"Xie",0.01,0.0073,0.000851276100921434,TRUE
"rough",200,10,"Xie",0.05,0.0365,0.00187530664159225,FALSE
"rough",200,10,"Xie",0.1,0.0793,0.00270206421093208,FALSE
"quad",500,10,"DEF.poly2",0.01,0.0091,0.000949588858401361,TRUE
