"n","arm","G","scen","test","size","power_adj","na_alt"
2000,"G10",10,"cloglog_sparse","EDGE.poly3",0.0455,0.053,0
2000,"G10",10,"cloglog_sparse","EDGE.stk",0.047,0.062,0
2000,"G10",10,"cloglog_sparse","HL_F",0.054,0.0385,0
2000,"G10",10,"cloglog_sparse","HL",0.057,0.0485,0
2000,"G10",10,"cloglog_sparse","HL_w",0.0465,0.027,0
2000,"G10",10,"cloglog_sparse","Stukel",0.0461938841899805,0.0359550561797753,0.3325
2000,"G10",10,"cloglog_sparse","GiViTI",0.0475,0.082,0
2000,"rule",80,"quad","EDGE.poly2",0.0555,1,0
2000,"rule",80,"quad","EDGE.poly3",0.0535,1,0
2000,"rule",80,"quad","EDGE.stk",0.047,1,0
2000,"rule",80,"quad","HL_F",0.0515,1,0
2000,"rule",80,"quad","HL",0.051,1,0
2000,"rule",80,"quad","HL_w",0.0525,1,0
2000,"rule",80,"quad","Stukel",0.055,1,0.0355
2000,"rule",80,"quad","GiViTI",0.0545,1,0
2000,"rule",80,"binint","EDGE.poly2",0.0555,0.948,0
2000,"rule",80,"binint","EDGE.poly3",0.0535,0.9435,0
2000,"rule",80,"binint","EDGE.stk",0.047,0.923961980990495,5e-04
2000,"rule",80,"binint","HL_F",0.0515,0.321,0
2000,"rule",80,"binint","HL",0.051,0.396,0
2000,"rule",80,"binint","HL_w",0.0525,0.5305,0
2000,"rule",80,"binint","Stukel",0.055,0.925275827482447,0.003
2000,"rule",80,"binint","GiViTI",0.0545,0.955,0
2000,"rule",80,"osc4","EDGE.poly2",0.0555,0.0755,0
2000,"rule",80,"osc4","EDGE.poly3",0.0535,0.8145,0
2000,"rule",80,"osc4","EDGE.stk",0.047,0.9345,0
2000,"rule",80,"osc4","HL_F",0.0515,1,0
2000,"rule",80,"osc4","HL",0.051,1,0
2000,"rule",80,"osc4","HL_w",0.0525,1,0
2000,"rule",80,"osc4","Stukel",0.055,0.8285,0
2000,"rule",80,"osc4","GiViTI",0.0545,0.6635,0
2000,"rule",80,"cloglog_sparse","EDGE.poly2",0.0565,0.06,0
2000,"rule",80,"cloglog_sparse","EDGE.poly3",0.0535,0.058,0
2000,"rule",80,"cloglog_sparse","EDGE.stk",0.0595297648824412,0.0620931397095643,0.0015
2000,"rule",80,"cloglog_sparse","HL_F",0.056,0.052,0
2000,"rule",80,"cloglog_sparse","HL",0.07,0.0665,0
2000,"rule",80,"cloglog_sparse","HL_w",0.032,0.0225,0
2000,"rule",80,"cloglog_sparse","Stukel",0.0506164828033744,0.0377218934911243,0.324
2000,"rule",80,"cloglog_sparse","GiViTI",0.057,0.073,0
10000,"G10",10,"quad","EDGE.poly2",0.05,1,0
10000,"G10",10,"quad","EDGE.poly3",0.051,1,0
10000,"G10",10,"quad","EDGE.stk",0.056,1,0
10000,"G10",10,"quad","HL_F",0.049,1,0
10000,"G10",10,"quad","HL",0.049,1,0
10000,"G10",10,"quad","HL_w",0.052,1,0
10000,"G10",10,"quad","Stukel",0.045,1,0.001
10000,"G10",10,"quad","GiViTI",0.05,1,0
10000,"G10",10,"binint","EDGE.poly2",0.05,1,0
10000,"G10",10,"binint","EDGE.poly3",0.051,1,0
10000,"G10",10,"binint","EDGE.stk",0.056,1,0
10000,"G10",10,"binint","HL_F",0.049,1,0
10000,"G10",10,"binint","HL",0.049,1,0
10000,"G10",10,"binint","HL_w",0.052,1,0
10000,"G10",10,"binint","Stukel",0.045,1,0
10000,"G10",10,"binint","GiViTI",0.05,1,0
10000,"G10",10,"osc4","EDGE.poly2",0.05,0.065,0
10000,"G10",10,"osc4","EDGE.poly3",0.051,1,0
10000,"G10",10,"osc4","EDGE.stk",0.056,1,0
10000,"G10",10,"osc4","HL_F",0.049,1,0
10000,"G10",10,"osc4","HL",0.049,1,0
10000,"G10",10,"osc4","HL_w",0.052,1,0
10000,"G10",10,"osc4","Stukel",0.045,1,0
10000,"G10",10,"osc4","GiViTI",0.05,1,0
10000,"G10",10,"cloglog_sparse","EDGE.poly2",0.059,0.072,0
10000,"G10",10,"cloglog_sparse","EDGE.poly3",0.06,0.061,0
10000,"G10",10,"cloglog_sparse","EDGE.stk",0.046,0.127,0
10000,"G10",10,"cloglog_sparse","HL_F",0.073,0.055,0
10000,"G10",10,"cloglog_sparse","HL",0.073,0.057,0
10000,"G10",10,"cloglog_sparse","HL_w",0.055,0.036,0
10000,"G10",10,"cloglog_sparse","Stukel",0.0371155885471898,0.223013048635824,0.157
10000,"G10",10,"cloglog_sparse","GiViTI",0.035,0.295,0
10000,"rule",200,"quad","EDGE.poly2",0.05,1,0
10000,"rule",200,"quad","EDGE.poly3",0.043,1,0
10000,"rule",200,"quad","EDGE.stk",0.043,1,0
10000,"rule",200,"quad","HL_F",0.04,1,0
10000,"rule",200,"quad","HL",0.041,1,0
10000,"rule",200,"quad","HL_w",0.05,1,0
10000,"rule",200,"quad","Stukel",0.045,1,0
10000,"rule",200,"quad","GiViTI",0.05,1,0
10000,"rule",200,"binint","EDGE.poly2",0.05,1,0
10000,"rule",200,"binint","EDGE.poly3",0.043,1,0
10000,"rule",200,"binint","EDGE.stk",0.043,1,0.002
10000,"rule",200,"binint","HL_F",0.04,0.972,0
10000,"rule",200,"binint","HL",0.041,0.982,0
10000,"rule",200,"binint","HL_w",0.05,1,0
10000,"rule",200,"binint","Stukel",0.045,1,0
10000,"rule",200,"binint","GiViTI",0.05,1,0
10000,"rule",200,"osc4","EDGE.poly2",0.05,0.067,0
10000,"rule",200,"osc4","EDGE.poly3",0.043,1,0
10000,"rule",200,"osc4","EDGE.stk",0.043,1,0
10000,"rule",200,"osc4","HL_F",0.04,1,0
10000,"rule",200,"osc4","HL",0.041,1,0
10000,"rule",200,"osc4","HL_w",0.05,1,0
10000,"rule",200,"osc4","Stukel",0.045,1,0
10000,"rule",200,"osc4","GiViTI",0.05,1,0
10000,"rule",200,"cloglog_sparse","EDGE.poly2",0.055,0.203,0
10000,"rule",200,"cloglog_sparse","EDGE.poly3",0.051,0.157,0
10000,"rule",200,"cloglog_sparse","EDGE.stk",0.0511022044088176,0.148,0
10000,"rule",200,"cloglog_sparse","HL_F",0.048,0.069,0
10000,"rule",200,"cloglog_sparse","HL",0.059,0.097,0
10000,"rule",200,"cloglog_sparse","HL_w",0.036,0.013,0
10000,"rule",200,"cloglog_sparse","Stukel",0.0464135021097046,0.175480769230769,0.168
10000,"rule",200,"cloglog_sparse","GiViTI",0.041,0.253,0
