"family","param","n","G","test","reject_rate","mcse"
"quad","0.05",1000,10,"DEF.poly3",0.9884,0.00151429455523026
"quad","0.05",1000,10,"DEF.stukel",0.9874,0.00157741814367656
"quad","0.05",1000,10,"EF",0.9414,0.00332162731202644
"quad","0.05",1000,10,"HL",0.972,0.00233306665142683
"quad","0.05",1000,10,"HL-equalwidth",0.817,0.00546829040925955
"quad","0.05",1000,10,"Pigeon-Heyse",0.962,0.0027039230758289
"quad","0.05",1000,10,"Stukel",0.9962,0.000870121830550185
"quad","0.05",1000,10,"Tsiatis",0.9706,0.00238895960618843
"quad","0.05",1000,10,"Xie",0.9678,0.00249652398346181
"quad","0.05",1000,12,"DEF.poly2",0.9932,0.00116221856808434
"quad","0.05",1000,12,"DEF.poly3",0.9886,0.00150133540556399
"quad","0.05",1000,12,"DEF.stukel",0.985,0.00171901134376711
"quad","0.05",1000,12,"EF",0.9272,0.00367423896882062
"quad","0.05",1000,12,"HL",0.965,0.00259903828367341
"quad","0.05",1000,12,"HL-equalwidth",0.8042,0.00561181539254456
"quad","0.05",1000,12,"Pigeon-Heyse",0.9538,0.00296868859936505
"quad","0.05",1000,12,"Stukel",0.9968,0.000798718974358313
"quad","0.05",1000,12,"Tsiatis",0.964,0.00263453980801202
"quad","0.05",1000,12,"Xie",0.964,0.00263453980801202
"quad","0.05",1000,14,"DEF.poly2",0.9926,0.00121204290353106
"quad","0.05",1000,14,"DEF.poly3",0.989,0.00147505932084103
"quad","0.05",1000,14,"DEF.stukel",0.9888,0.00148825804214189
"quad","0.05",1000,14,"EF",0.9134,0.0039774474226569
"quad","0.05",1000,14,"HL",0.9658,0.0025702280054501
"quad","0.05",1000,14,"HL-equalwidth",0.8112,0.00553452003339043
"quad","0.05",1000,14,"Pigeon-Heyse",0.9576,0.00284963997726029
"quad","0.05",1000,14,"Stukel",0.9958,0.000914588432028307
"quad","0.05",1000,14,"Tsiatis",0.9654,0.0025846794772273
"quad","0.05",1000,14,"Xie",0.9706,0.00238895960618843
"quad","0.05",1000,20,"DEF.poly2",0.9962,0.000870121830550185
"quad","0.05",1000,20,"DEF.poly3",0.9912,0.00132079975772257
"quad","0.05",1000,20,"DEF.stukel",0.99,0.00140712472794703
"quad","0.05",1000,20,"EF",0.8638,0.00485076406352649
"quad","0.05",1000,20,"HL",0.9592,0.00279769047608916
"quad","0.05",1000,20,"HL-equalwidth",0.8018,0.00563767256942083
"quad","0.05",1000,20,"Pigeon-Heyse",0.9482,0.0031342227106573
"quad","0.05",1000,20,"Stukel",0.9974,0.000720172201629589
"quad","0.05",1000,20,"Tsiatis",0.9562,0.00289418589589542
"quad","0.05",1000,20,"Xie",0.9686,0.00246633493264804
