"n","G","basis","ks_stat","ks_p","ad_stat","ad_p","B","lambda_source"
500,10,"poly2",0.0218153924476702,0.297084471424585,1.19271793385906,0.27032842739304,2000,"pop_2e5"
500,10,"poly3",0.0213471004043398,0.321797653189069,1.32751483877519,0.223600533984641,2000,"pop_2e5"
500,10,"stukel",0.0156414461884863,0.712056187232804,0.60775631682327,0.640676269661903,2000,"pop_2e5"
1000,10,"poly2",0.0340038396290087,0.0196064203085393,2.35233920886321,0.0592766489415816,2000,"pop_2e5"
1000,10,"poly3",0.0171212674094043,0.60083491712987,0.580305732472652,0.666793469813965,2000,"pop_2e5"
1000,10,"stukel",0.0132982286086604,0.871202558582348,0.315295177580538,0.926234275820403,2000,"pop_2e5"
5000,10,"poly2",0.017148909805677,0.598767819088321,0.875773876800849,0.429462858894433,2000,"pop_2e5"
5000,10,"poly3",0.0244666398680613,0.182304292172591,2.18305365152059,0.0730245727592816,2000,"pop_2e5"
5000,10,"stukel",0.0163026457501855,0.66244372568446,0.626086358725843,0.62366278587877,2000,"pop_2e5"
