"scenario","pstar","G","test","size_raw","power_raw","power_adj","na_null","na_alt","B","mcse_size"
"quad",5,10,"HL_w",0.05,1,1,0,0,2000,0.00487339717240448
"quad",5,10,"Stukel",0.052,1,1,0,0.0965,2000,0.00496467521596328
"quad",5,10,"GiViTI",0.051,1,1,0,0,2000,0.00491929873051027
"binint",5,10,"EDGE.poly2",0.0485,0.7285,0.7305,0,0,2000,0.00480352734977121
"binint",5,10,"EDGE.poly3",0.05,0.6765,0.6735,0,0,2000,0.00487339717240448
"binint",5,10,"EDGE.stk",0.0465,0.728092138207311,0.740110165247872,0,0.0015,2000,0.00470838348055891
"binint",5,10,"HL_F",0.0415,0.423,0.4435,0,0,2000,0.00445969449626317
"binint",5,10,"HL",0.0405,0.4405,0.471,0,0,2000,0.00440793318914886
"binint",5,10,"HL_w",0.05,0.488,0.488,0,0,2000,0.00487339717240448
"binint",5,10,"Stukel",0.052,0.653688524590164,0.64344262295082,0,0.024,2000,0.00496467521596328
"binint",5,10,"GiViTI",0.051,0.742,0.739,0,0,2000,0.00491929873051027
"cloglog",5,20,"EDGE.poly2",0.0505,0.8105,0.809,0,0,2000,0.00489641450451246
"cloglog",5,20,"EDGE.poly3",0.0495,0.7685,0.7695,0,0,2000,0.0048502448391808
"cloglog",5,20,"EDGE.stk",0.0495,0.719,0.719,0,0,2000,0.0048502448391808
"cloglog",5,20,"HL_F",0.0495,0.328,0.3285,0,0,2000,0.0048502448391808
"cloglog",5,20,"HL",0.05,0.201,0.1995,0,0,2000,0.00487339717240448
"cloglog",5,20,"HL_w",0.053,0.3675,0.3575,0,0,2000,0.0050095408971282
"cloglog",5,20,"Stukel",0.0565,0.8385,0.81,0,0,2000,0.00516273909857936
"cloglog",5,20,"GiViTI",0.0515,0.852,0.8505,0,0,2000,0.00494205169944629
"quad",5,20,"EDGE.poly2",0.0505,1,1,0,0,2000,0.00489641450451246
"quad",5,20,"EDGE.poly3",0.0495,1,1,0,0,2000,0.0048502448391808
"quad",5,20,"EDGE.stk",0.0495,1,1,0,0,2000,0.0048502448391808
"quad",5,20,"HL_F",0.0495,1,1,0,0,2000,0.0048502448391808
"quad",5,20,"HL",0.05,1,1,0,0,2000,0.00487339717240448
"quad",5,20,"HL_w",0.053,1,1,0,0,2000,0.0050095408971282
"quad",5,20,"Stukel",0.0565,1,1,0,0.0845,2000,0.00516273909857936
"quad",5,20,"GiViTI",0.0515,1,1,0,0,2000,0.00494205169944629
"binint",5,20,"EDGE.poly2",0.0505,0.728,0.727,0,0,2000,0.00489641450451246
"binint",5,20,"EDGE.poly3",0.0495,0.691,0.6925,0,0,2000,0.0048502448391808
"binint",5,20,"EDGE.stk",0.0495,0.692230576441103,0.692731829573935,0,0.0025,2000,0.0048502448391808
"binint",5,20,"HL_F",0.0495,0.3145,0.3145,0,0,2000,0.0048502448391808
"binint",5,20,"HL",0.05,0.342,0.341,0,0,2000,0.00487339717240448
"binint",5,20,"HL_w",0.053,0.436,0.427,0,0,2000,0.0050095408971282
"binint",5,20,"Stukel",0.0565,0.66700662927078,0.624171341152473,0,0.0195,2000,0.00516273909857936
"binint",5,20,"GiViTI",0.0515,0.7255,0.7235,0,0,2000,0.00494205169944629
"cloglog",10,10,"EDGE.poly2",0.0575,0.7515,0.718,0,0,2000,0.00520546587732549
"cloglog",10,10,"EDGE.poly3",0.0585,0.7025,0.662,0,0,2000,0.0052477495176504
"cloglog",10,10,"EDGE.stk",0.0525,0.6605,0.6395,0,0,2000,0.00498717104178311
"cloglog",10,10,"HL_F",0.0485,0.4195,0.429,0,0,2000,0.00480352734977121
"cloglog",10,10,"HL",0.049,0.3435,0.3445,0,0,2000,0.00482695556225661
"cloglog",10,10,"HL_w",0.055,0.4325,0.4165,0,0,2000,0.00509779364038993
"cloglog",10,10,"Stukel",0.0565,0.807,0.785,0,0,2000,0.00516273909857936
"cloglog",10,10,"GiViTI",0.056,0.818,0.797,0,0,2000,0.00514120608417908
"quad",10,10,"EDGE.poly2",0.0575,1,1,0,0,2000,0.00520546587732549
"quad",10,10,"EDGE.poly3",0.0585,1,1,0,0,2000,0.0052477495176504
"quad",10,10,"EDGE.stk",0.0525,1,1,0,0.001,2000,0.00498717104178311
"quad",10,10,"HL_F",0.0485,1,1,0,0,2000,0.00480352734977121
"quad",10,10,"HL",0.049,1,1,0,0,2000,0.00482695556225661
"quad",10,10,"HL_w",0.055,1,1,0,0,2000,0.00509779364038993
"quad",10,10,"Stukel",0.0565,1,1,0,0.0475,2000,0.00516273909857936
"quad",10,10,"GiViTI",0.056,1,1,0,0,2000,0.00514120608417908
"binint",10,10,"EDGE.poly2",0.0575,0.65,0.617,0,0,2000,0.00520546587732549
"binint",10,10,"EDGE.poly3",0.0585,0.601,0.574,0,0,2000,0.0052477495176504
"binint",10,10,"EDGE.stk",0.0525,0.65,0.637,0,0,2000,0.00498717104178311
"binint",10,10,"HL_F",0.0485,0.3795,0.382,0,0,2000,0.00480352734977121
"binint",10,10,"HL",0.049,0.3955,0.3955,0,0,2000,0.00482695556225661
"binint",10,10,"HL_w",0.055,0.432,0.4185,0,0,2000,0.00509779364038993
"binint",10,10,"Stukel",0.0565,0.57592686642966,0.547486033519553,0,0.0155,2000,0.00516273909857936
"binint",10,10,"GiViTI",0.056,0.642,0.619,0,0,2000,0.00514120608417908
"cloglog",10,20,"EDGE.poly2",0.0475,0.7725,0.7815,0,0,2000,0.00475624589355933
"cloglog",10,20,"EDGE.poly3",0.0435,0.74,0.761,0,0,2000,0.00456112650559048
"cloglog",10,20,"EDGE.stk",0.046,0.658,0.685,0,0,2000,0.00468422885862764
"cloglog",10,20,"HL_F",0.0455,0.2975,0.315,0,0,2000,0.00465992220965114
"cloglog",10,20,"HL",0.046,0.1885,0.1975,0,0,2000,0.00468422885862764
"cloglog",10,20,"HL_w",0.048,0.34,0.3485,0,0,2000,0.00477995815881269
"cloglog",10,20,"Stukel",0.0485,0.8125,0.816,0,0,2000,0.00480352734977121
"cloglog",10,20,"GiViTI",0.0455,0.827,0.8345,0,0,2000,0.00465992220965114
"quad",10,20,"EDGE.poly2",0.0475,1,1,0,0,2000,0.00475624589355933
"quad",10,20,"EDGE.poly3",0.0435,1,1,0,0,2000,0.00456112650559048
"quad",10,20,"EDGE.stk",0.046,1,1,0,0.0015,2000,0.00468422885862764
"quad",10,20,"HL_F",0.0455,1,1,0,0,2000,0.00465992220965114
"quad",10,20,"HL",0.046,1,1,0,0,2000,0.00468422885862764
"quad",10,20,"HL_w",0.048,1,1,0,0,2000,0.00477995815881269
"quad",10,20,"Stukel",0.0485,1,1,0,0.055,2000,0.00480352734977121
"quad",10,20,"GiViTI",0.0455,1,1,0,0,2000,0.00465992220965114
"binint",10,20,"EDGE.poly2",0.0475,0.6465,0.655,0,0,2000,0.00475624589355933
"binint",10,20,"EDGE.poly3",0.0435,0.6215,0.6425,0,0,2000,0.00456112650559048
"binint",10,20,"EDGE.stk",0.046,0.608,0.6255,0,0,2000,0.00468422885862764
"binint",10,20,"HL_F",0.0455,0.272,0.2825,0,0,2000,0.00465992220965114
"binint",10,20,"HL",0.046,0.2995,0.3155,0,0,2000,0.00468422885862764
"binint",10,20,"HL_w",0.048,0.353,0.3545,0,0,2000,0.00477995815881269
"binint",10,20,"Stukel",0.0485,0.583923154701719,0.586450960566228,0,0.011,2000,0.00480352734977121
"binint",10,20,"GiViTI",0.0455,0.6575,0.665,0,0,2000,0.00465992220965114
"cloglog",20,10,"EDGE.poly2",0.0545,0.7195,0.6955,0,0,2000,0.00507591124823908
"cloglog",20,10,"EDGE.poly3",0.0505,0.669,0.663,0,0,2000,0.00489641450451246
"cloglog",20,10,"EDGE.stk",0.0475,0.589,0.5955,0,0,2000,0.00475624589355933
"cloglog",20,10,"HL_F",0.058,0.385,0.355,0,0,2000,0.00522666241496426
"cloglog",20,10,"HL",0.0575,0.296,0.2775,0,0,2000,0.00520546587732549
"cloglog",20,10,"HL_w",0.054,0.3755,0.352,0,0,2000,0.00505390937789747
"cloglog",20,10,"Stukel",0.059,0.7655,0.732,0,0,2000,0.00526872849936301
"cloglog",20,10,"GiViTI",0.053,0.7765,0.771,0,0,2000,0.0050095408971282
"quad",20,10,"EDGE.poly2",0.0545,1,1,0,0,2000,0.00507591124823908
"quad",20,10,"EDGE.poly3",0.0505,1,1,0,0,2000,0.00489641450451246
"quad",20,10,"EDGE.stk",0.0475,1,1,0,5e-04,2000,0.00475624589355933
"quad",20,10,"HL_F",0.058,1,1,0,0,2000,0.00522666241496426
"quad",20,10,"HL",0.0575,1,1,0,0,2000,0.00520546587732549
"quad",20,10,"HL_w",0.054,1,1,0,0,2000,0.00505390937789747
"quad",20,10,"Stukel",0.059,1,1,0,0.0095,2000,0.00526872849936301
"quad",20,10,"GiViTI",0.053,1,1,0,0,2000,0.0050095408971282
