"kind","s","n","G","test","size","power_adj","na"
"asym_hi",0.7,1000,40,"EDGE.poly4",0.0525,0.9555,0
"asym_hi",0.7,1000,40,"SlopeLRT",0.047,0.959,0
"asym_hi",0.7,1000,40,"EDGE.slope2",0.0485,0.9755,0
"asym_hi",0.7,1000,40,"HL.ext",0.051,0.772,0
"asym_hi",0.7,1000,40,"GiViTI.ext",0.047,0.9565,0
"asym_lo",0.7,1000,40,"EDGE.stk4",0.05,0.7695,0
"asym_lo",0.7,1000,40,"EDGE.poly4",0.0525,0.7665,0
"asym_lo",0.7,1000,40,"SlopeLRT",0.047,0.766,0
"asym_lo",0.7,1000,40,"EDGE.slope2",0.0485,0.8055,0
"asym_lo",0.7,1000,40,"HL.ext",0.051,0.459,0
"asym_lo",0.7,1000,40,"GiViTI.ext",0.047,0.76,0
"probit_comp",0.7,1000,40,"EDGE.stk4",0.05,0.9975,0
"probit_comp",0.7,1000,40,"EDGE.poly4",0.0525,0.997,0
"probit_comp",0.7,1000,40,"SlopeLRT",0.047,0.9995,0
"probit_comp",0.7,1000,40,"EDGE.slope2",0.0485,0.999,0
"probit_comp",0.7,1000,40,"HL.ext",0.051,0.949,0
"probit_comp",0.7,1000,40,"GiViTI.ext",0.047,0.999,0
"temp",0.85,2000,80,"EDGE.stk4",0.0495,0.7695,0
"temp",0.85,2000,80,"EDGE.poly4",0.0485,0.773,0
"temp",0.85,2000,80,"SlopeLRT",0.0525,0.8285,0
"temp",0.85,2000,80,"EDGE.slope2",0.0535,0.8325,0
"temp",0.85,2000,80,"HL.ext",0.0435,0.432,0
"temp",0.85,2000,80,"GiViTI.ext",0.053,0.8255,0
"asym_hi",0.85,2000,80,"EDGE.stk4",0.0495,0.556,0
"asym_hi",0.85,2000,80,"EDGE.poly4",0.0485,0.558,0
"asym_hi",0.85,2000,80,"SlopeLRT",0.0525,0.5785,0
"asym_hi",0.85,2000,80,"EDGE.slope2",0.0535,0.6265,0
"asym_hi",0.85,2000,80,"HL.ext",0.0435,0.27,0
"asym_hi",0.85,2000,80,"GiViTI.ext",0.053,0.5685,0
"asym_lo",0.85,2000,80,"EDGE.stk4",0.0495,0.3375,0
"asym_lo",0.85,2000,80,"EDGE.poly4",0.0485,0.334,0
"asym_lo",0.85,2000,80,"SlopeLRT",0.0525,0.318,0
"asym_lo",0.85,2000,80,"EDGE.slope2",0.0535,0.3545,0
"asym_lo",0.85,2000,80,"HL.ext",0.0435,0.1435,0
"asym_lo",0.85,2000,80,"GiViTI.ext",0.053,0.316,0
"probit_comp",0.85,2000,80,"EDGE.stk4",0.0495,0.662,0
"probit_comp",0.85,2000,80,"EDGE.poly4",0.0485,0.6715,0
"probit_comp",0.85,2000,80,"SlopeLRT",0.0525,0.709,0
"probit_comp",0.85,2000,80,"EDGE.slope2",0.0535,0.7415,0
"probit_comp",0.85,2000,80,"HL.ext",0.0435,0.3755,0
"probit_comp",0.85,2000,80,"GiViTI.ext",0.053,0.7065,0
"temp",0.7,2000,80,"EDGE.stk4",0.0495,1,0
"temp",0.7,2000,80,"EDGE.poly4",0.0485,1,0
"temp",0.7,2000,80,"SlopeLRT",0.0525,1,0
"temp",0.7,2000,80,"EDGE.slope2",0.0535,1,0
"temp",0.7,2000,80,"HL.ext",0.0435,1,0
"temp",0.7,2000,80,"GiViTI.ext",0.053,1,0
"asym_hi",0.7,2000,80,"EDGE.stk4",0.0495,0.9995,0
"asym_hi",0.7,2000,80,"EDGE.poly4",0.0485,1,0
"asym_hi",0.7,2000,80,"SlopeLRT",0.0525,0.9995,0
"asym_hi",0.7,2000,80,"EDGE.slope2",0.0535,1,0
"asym_hi",0.7,2000,80,"HL.ext",0.0435,0.9595,0
"asym_hi",0.7,2000,80,"GiViTI.ext",0.053,0.9995,0
"asym_lo",0.7,2000,80,"EDGE.stk4",0.0495,0.965,0
"asym_lo",0.7,2000,80,"EDGE.poly4",0.0485,0.9675,0
"asym_lo",0.7,2000,80,"SlopeLRT",0.0525,0.964,0
"asym_lo",0.7,2000,80,"EDGE.slope2",0.0535,0.979,0
"asym_lo",0.7,2000,80,"HL.ext",0.0435,0.683,0
"asym_lo",0.7,2000,80,"GiViTI.ext",0.053,0.964,0
"probit_comp",0.7,2000,80,"EDGE.stk4",0.0495,1,0
"probit_comp",0.7,2000,80,"EDGE.poly4",0.0485,1,0
"probit_comp",0.7,2000,80,"SlopeLRT",0.0525,1,0
"probit_comp",0.7,2000,80,"EDGE.slope2",0.0535,1,0
"probit_comp",0.7,2000,80,"HL.ext",0.0435,0.997,0
"probit_comp",0.7,2000,80,"GiViTI.ext",0.053,1,0
"temp",0.85,5000,200,"EDGE.stk4",0.05,0.9935,0
"temp",0.85,5000,200,"EDGE.poly4",0.0535,0.993,0
"temp",0.85,5000,200,"SlopeLRT",0.054,0.9965,0
"temp",0.85,5000,200,"EDGE.slope2",0.054,0.9955,0
"temp",0.85,5000,200,"HL.ext",0.0425,0.734,0
"temp",0.85,5000,200,"GiViTI.ext",0.0535,0.9965,0
"asym_hi",0.85,5000,200,"EDGE.stk4",0.05,0.926,0
"asym_hi",0.85,5000,200,"EDGE.poly4",0.0535,0.923,0
"asym_hi",0.85,5000,200,"SlopeLRT",0.054,0.93,0
"asym_hi",0.85,5000,200,"EDGE.slope2",0.054,0.9485,0
"asym_hi",0.85,5000,200,"HL.ext",0.0425,0.4905,0
"asym_hi",0.85,5000,200,"GiViTI.ext",0.0535,0.9255,0
"asym_lo",0.85,5000,200,"EDGE.stk4",0.05,0.688,0
"asym_lo",0.85,5000,200,"EDGE.poly4",0.0535,0.6835,0
"asym_lo",0.85,5000,200,"SlopeLRT",0.054,0.684,0
"asym_lo",0.85,5000,200,"EDGE.slope2",0.054,0.722,0
"asym_lo",0.85,5000,200,"HL.ext",0.0425,0.244,0
"asym_lo",0.85,5000,200,"GiViTI.ext",0.0535,0.681,0
"probit_comp",0.85,5000,200,"EDGE.stk4",0.05,0.97,0
"probit_comp",0.85,5000,200,"EDGE.poly4",0.0535,0.969,0
"probit_comp",0.85,5000,200,"SlopeLRT",0.054,0.98,0
"probit_comp",0.85,5000,200,"EDGE.slope2",0.054,0.984,0
"probit_comp",0.85,5000,200,"HL.ext",0.0425,0.6105,0
"probit_comp",0.85,5000,200,"GiViTI.ext",0.0535,0.979,0
"temp",0.7,5000,200,"EDGE.stk4",0.05,1,0
"temp",0.7,5000,200,"EDGE.poly4",0.0535,1,0
"temp",0.7,5000,200,"SlopeLRT",0.054,1,0
"temp",0.7,5000,200,"EDGE.slope2",0.054,1,0
"temp",0.7,5000,200,"HL.ext",0.0425,1,0
"temp",0.7,5000,200,"GiViTI.ext",0.0535,1,0
"asym_hi",0.7,5000,200,"EDGE.stk4",0.05,1,0
"asym_hi",0.7,5000,200,"EDGE.poly4",0.0535,1,0
"asym_hi",0.7,5000,200,"SlopeLRT",0.054,1,0
"asym_hi",0.7,5000,200,"EDGE.slope2",0.054,1,0
"asym_hi",0.7,5000,200,"HL.ext",0.0425,0.9995,0
"asym_hi",0.7,5000,200,"GiViTI.ext",0.0535,1,0
"asym_lo",0.7,5000,200,"EDGE.stk4",0.05,1,0
"asym_lo",0.7,5000,200,"EDGE.poly4",0.0535,1,0
"asym_lo",0.7,5000,200,"SlopeLRT",0.054,1,0
"asym_lo",0.7,5000,200,"EDGE.slope2",0.054,1,0
"asym_lo",0.7,5000,200,"HL.ext",0.0425,0.936,0
"asym_lo",0.7,5000,200,"GiViTI.ext",0.0535,1,0
"probit_comp",0.7,5000,200,"EDGE.stk4",0.05,1,0
"probit_comp",0.7,5000,200,"EDGE.poly4",0.0535,1,0
"probit_comp",0.7,5000,200,"SlopeLRT",0.054,1,0
"probit_comp",0.7,5000,200,"EDGE.slope2",0.054,1,0
"probit_comp",0.7,5000,200,"HL.ext",0.0425,1,0
"probit_comp",0.7,5000,200,"GiViTI.ext",0.0535,1,0
