"spectrum","min_over_max","k_df","S","p_imhof","p_satter","abs_delta_p","tail"
"poly2_typical",0.62,2,1.09857139499265,0.501229488876679,0.5,0.00122948887667906,FALSE
"poly2_typical",0.62,2,2.61826648342709,0.19706426191024,0.2,0.00293573808975975,FALSE
"poly2_typical",0.62,2,3.77967901189836,0.0981058408905811,0.0999999999999999,0.00189415910941883,FALSE
"poly2_typical",0.62,2,4.94608099730486,0.0493144949929701,0.0500000000000001,0.000685505007029921,TRUE
"poly2_typical",0.62,2,6.49270166125844,0.0201553947702792,0.02,0.000155394770279153,TRUE
"poly2_typical",0.62,2,7.66509725538484,0.0103474782182578,0.01,0.000347478218257752,TRUE
"poly2_typical",0.62,2,8.83899982133696,0.00533862140595809,0.005,0.000338621405958087,TRUE
"poly2_typical",0.62,2,10.392576355029,0.00226239453484361,0.002,0.00026239453484361,TRUE
"poly2_typical",0.62,2,11.5688593666878,0.00118849368780533,0.001,0.000188493687805325,TRUE
"poly2_typical",0.62,2,12.7458697668107,0.000625631459307885,0.000499999999999945,0.00012563145930794,TRUE
"poly2_typical",0.62,2,15.4810075673904,0.000147675385027635,9.99999999999891e-05,4.76753850276456e-05,TRUE
"poly3_typical",0.28,3,1.35864171700052,0.498839129638297,0.5,0.00116087036170337,FALSE
"poly3_typical",0.28,3,2.89470144780387,0.190805809588927,0.2,0.00919419041107286,FALSE
"poly3_typical",0.28,3,4.01786951266195,0.0954617494871293,0.1,0.00453825051287075,FALSE
"poly3_typical",0.28,3,5.12479503286878,0.0490162698394155,0.05,0.000983730160584506,TRUE
"poly3_typical",0.28,3,6.57269829282826,0.0209545355773766,0.02,0.000954535577376642,TRUE
"poly3_typical",0.28,3,7.66008778405609,0.0112244803276959,0.01,0.00122448032769584,TRUE
"poly3_typical",0.28,3,8.74254167378115,0.00608859452241084,0.00500000000000001,0.00108859452241083,TRUE
"poly3_typical",0.28,3,10.1676783542719,0.00275426599832584,0.002,0.000754265998325841,TRUE
"poly3_typical",0.28,3,11.242298034326,0.00152568254455526,0.001,0.000525682544555261,TRUE
"poly3_typical",0.28,3,12.3145116390981,0.000858476349264004,0.000499999999999946,0.000358476349264058,TRUE
