"n","m","G","scen","test","B","size","power_adj","na_null"
1000,15,67,"probit","EDGE.poly2",2000,0.0445,0.061,0
1000,15,67,"probit","EDGE.poly3",2000,0.0375,0.0895,0
1000,15,67,"probit","EDGE.stk",2000,0.037,0.069,0
1000,15,67,"probit","HL_F",2000,0.038,0.054,0
1000,15,67,"probit","HL",2000,0.036,0.0385,0
1000,15,67,"probit","HL_w",2000,0.0385,0.0585,0
1000,15,67,"probit","Stukel",2000,0.0395,0.11,0
1000,15,67,"probit","GiViTI",2000,0.042,0.0755,0
1000,25,40,"cloglog","EDGE.poly2",2000,0.044,0.8465,0
1000,25,40,"cloglog","EDGE.poly3",2000,0.039,0.8265,0
1000,25,40,"cloglog","EDGE.stk",2000,0.0475,0.7585,0
1000,25,40,"cloglog","HL_F",2000,0.0475,0.2105,0
1000,25,40,"cloglog","HL",2000,0.0485,0.0875,0
1000,25,40,"cloglog","HL_w",2000,0.0485,0.2645,0
1000,25,40,"cloglog","Stukel",2000,0.0425,0.8695,0
1000,25,40,"cloglog","GiViTI",2000,0.0405,0.8855,0
1000,25,40,"probit","EDGE.poly2",2000,0.044,0.0495,0
1000,25,40,"probit","EDGE.poly3",2000,0.039,0.0875,0
1000,25,40,"probit","EDGE.stk",2000,0.0475,0.0585,0
1000,25,40,"probit","HL_F",2000,0.0475,0.05,0
1000,25,40,"probit","HL",2000,0.0485,0.0345,0
1000,25,40,"probit","HL_w",2000,0.0485,0.0575,0
1000,25,40,"probit","Stukel",2000,0.0425,0.1045,0
1000,25,40,"probit","GiViTI",2000,0.0405,0.058,0
1000,50,20,"cloglog","EDGE.poly2",2000,0.0505,0.826,0
1000,50,20,"cloglog","EDGE.poly3",2000,0.058,0.775,0
1000,50,20,"cloglog","EDGE.stk",2000,0.0545,0.737,0
1000,50,20,"cloglog","HL_F",2000,0.0555,0.3265,0
1000,50,20,"cloglog","HL",2000,0.056,0.2035,0
1000,50,20,"cloglog","HL_w",2000,0.066,0.3605,0
1000,50,20,"cloglog","Stukel",2000,0.0565,0.849,0
1000,50,20,"cloglog","GiViTI",2000,0.0515,0.8735,0
1000,50,20,"probit","EDGE.poly2",2000,0.0505,0.0475,0
1000,50,20,"probit","EDGE.poly3",2000,0.058,0.0655,0
1000,50,20,"probit","EDGE.stk",2000,0.0545,0.0605,0
1000,50,20,"probit","HL_F",2000,0.0555,0.047,0
1000,50,20,"probit","HL",2000,0.056,0.04,0
1000,50,20,"probit","HL_w",2000,0.066,0.044,0
1000,50,20,"probit","Stukel",2000,0.0565,0.084,0
1000,50,20,"probit","GiViTI",2000,0.0515,0.0535,0
1000,100,10,"cloglog","EDGE.poly2",2000,0.052,0.808,0
1000,100,10,"cloglog","EDGE.poly3",2000,0.0585,0.7345,0
1000,100,10,"cloglog","EDGE.stk",2000,0.055,0.7395,0
1000,100,10,"cloglog","HL_F",2000,0.0545,0.4755,0
1000,100,10,"cloglog","HL",2000,0.055,0.387,0
1000,100,10,"cloglog","HL_w",2000,0.057,0.455,0
1000,100,10,"cloglog","Stukel",2000,0.059,0.8315,0
1000,100,10,"cloglog","GiViTI",2000,0.0585,0.854,0
1000,100,10,"probit","EDGE.poly2",2000,0.052,0.0515,0
1000,100,10,"probit","EDGE.poly3",2000,0.0585,0.0635,0
1000,100,10,"probit","EDGE.stk",2000,0.055,0.0655,0
1000,100,10,"probit","HL_F",2000,0.0545,0.0545,0
1000,100,10,"probit","HL",2000,0.055,0.0475,0
1000,100,10,"probit","HL_w",2000,0.057,0.048,0
1000,100,10,"probit","Stukel",2000,0.059,0.0775,0
1000,100,10,"probit","GiViTI",2000,0.0585,0.0475,0
1000,200,5,"cloglog","EDGE.poly2",2000,0.0505,0.7345,0
1000,200,5,"cloglog","EDGE.poly3",2000,0.048,0.6725,0
1000,200,5,"cloglog","EDGE.stk",2000,0.05,0.7195,0
1000,200,5,"cloglog","HL_F",2000,0.0525,0.623,0
1000,200,5,"cloglog","HL",2000,0.0525,0.5645,0
1000,200,5,"cloglog","HL_w",2000,0.052,0.4025,0
1000,200,5,"cloglog","Stukel",2000,0.058,0.835,0
1000,200,5,"cloglog","GiViTI",2000,0.055,0.853,0
1000,200,5,"probit","EDGE.poly2",2000,0.0505,0.0515,0
1000,200,5,"probit","EDGE.poly3",2000,0.048,0.073,0
1000,200,5,"probit","EDGE.stk",2000,0.05,0.0695,0
1000,200,5,"probit","HL_F",2000,0.0525,0.0615,0
1000,200,5,"probit","HL",2000,0.0525,0.0575,0
1000,200,5,"probit","HL_w",2000,0.052,0.047,0
1000,200,5,"probit","Stukel",2000,0.058,0.0845,0
1000,200,5,"probit","GiViTI",2000,0.055,0.0465,0
2000,15,133,"cloglog","EDGE.poly2",2000,0.0505,0.985,0
2000,15,133,"cloglog","EDGE.poly3",2000,0.0465,0.99,0
2000,15,133,"cloglog","EDGE.stk",2000,0.0455,0.992,0
2000,15,133,"cloglog","HL_F",2000,0.049,0.2225,0
2000,15,133,"cloglog","HL",2000,0.048,0.039,0
2000,15,133,"cloglog","HL_w",2000,0.048,0.354,0
2000,15,133,"cloglog","Stukel",2000,0.0445,0.9955,0
2000,15,133,"cloglog","GiViTI",2000,0.0495,0.9905,0
2000,15,133,"probit","EDGE.poly2",2000,0.0505,0.0495,0
2000,15,133,"probit","EDGE.poly3",2000,0.0465,0.119,0
2000,15,133,"probit","EDGE.stk",2000,0.0455,0.1145,0
2000,15,133,"probit","HL_F",2000,0.049,0.0485,0
2000,15,133,"probit","HL",2000,0.048,0.04,0
2000,15,133,"probit","HL_w",2000,0.048,0.0525,0
2000,15,133,"probit","Stukel",2000,0.0445,0.146,0
2000,15,133,"probit","GiViTI",2000,0.0495,0.0585,0
2000,25,80,"cloglog","EDGE.poly2",2000,0.0565,0.9835,0
2000,25,80,"cloglog","EDGE.poly3",2000,0.053,0.985,0
2000,25,80,"cloglog","EDGE.stk",2000,0.055,0.983,0
2000,25,80,"cloglog","HL_F",2000,0.046,0.3555,0
2000,25,80,"cloglog","HL",2000,0.0455,0.12,0
2000,25,80,"cloglog","HL_w",2000,0.05,0.414,0
2000,25,80,"cloglog","Stukel",2000,0.0565,0.992,0
2000,25,80,"cloglog","GiViTI",2000,0.0535,0.9915,0
2000,25,80,"probit","EDGE.poly2",2000,0.0565,0.0455,0
2000,25,80,"probit","EDGE.poly3",2000,0.053,0.1075,0
2000,25,80,"probit","EDGE.stk",2000,0.055,0.0955,0
2000,25,80,"probit","HL_F",2000,0.046,0.0555,0
2000,25,80,"probit","HL",2000,0.0455,0.0395,0
