"n","G","m","size","na_null","power_raw","power_adj","l1","l2","l3","l3_sd"
2000,10,200,0.0625,0,0.982,0.9795,0.988677368001635,0.970750124333936,0.0151728282397942,0.000826858262280124
2000,20,100,0.0535,0,0.984,0.9835,0.987334311815188,0.964682415290928,0.00383741180520923,0.000190682057250535
2000,50,40,0.0535,0,0.986,0.984,0.987117772711724,0.9636793054547,0.000674813219446266,4.13127175507405e-05
2000,100,20,0.0535,0,0.986,0.984,0.987085886382919,0.963557197938764,0.000211256200834154,2.3596541899644e-05
2000,200,10,0.054,0,0.986,0.9835,0.987077229643456,0.963524590480977,9.1410379718573e-05,1.99787615865054e-05
2000,400,5,0.0545,0,0.986,0.9835,0.987074891888007,0.96351337601486,5.95502548396742e-05,1.92316901556875e-05
2000,1000,2,0.0555,0,0.986,0.9835,0.987074114026677,0.963510789828324,4.91936050700391e-05,1.90017258768958e-05
