"family","param","n","G","alpha","test","reject_rate","power_size_adj","size_at_cell","B","mcse"
"quad","0.01",2000,10,0.1,"EF",0.1462,0.1454,0.1013,5000,0.00499650998197742
"quad","0.01",2000,10,0.01,"HL",0.0316,0.0308,0.0109,5000,0.00247392158323581
"quad","0.01",2000,10,0.05,"HL",0.102,0.0994,0.0519,5000,0.00428009345692357
"quad","0.01",2000,10,0.1,"HL",0.1754,0.1738,0.1013,5000,0.00537837968165134
"quad","0.01",2000,10,0.01,"HL-equalwidth",0.0132,0.0448,0.0099,5000,0.00161404832641405
"quad","0.01",2000,10,0.05,"HL-equalwidth",0.0678,0.1626,0.0498,5000,0.00355536664775941
"quad","0.01",2000,10,0.1,"HL-equalwidth",0.1276,0.271,0.0997,5000,0.00471843702935623
"quad","0.01",2000,10,0.01,"Pigeon-Heyse",0.024,0.031,0.0066,5000,0.00216443988135499
"quad","0.01",2000,10,0.05,"Pigeon-Heyse",0.0728,0.1006,0.0326,5000,0.00367423896882062
"quad","0.01",2000,10,0.1,"Pigeon-Heyse",0.1264,0.1766,0.0688,5000,0.00469942634797057
"quad","0.01",2000,10,0.01,"Stukel",0.104,0.064,0.0207,5000,0.00431703602023425
"quad","0.01",2000,10,0.05,"Stukel",0.2136,0.1786,0.0669,5000,0.00579612008157181
"quad","0.01",2000,10,0.1,"Stukel",0.2822,0.2692,0.1086,5000,0.00636495341695444
"quad","0.01",2000,10,0.01,"Tsiatis",0.0326,0.0354,0.0094,5000,0.00251146331846595
"quad","0.01",2000,10,0.05,"Tsiatis",0.1002,0.104,0.0478,5000,0.00424640930669666
"quad","0.01",2000,10,0.1,"Tsiatis",0.173,0.176,0.0989,5000,0.0053492242428225
"quad","0.01",2000,10,0.01,"Xie",0.0252,0.0324,0.0073,5000,0.00221652701314466
"quad","0.01",2000,10,0.05,"Xie",0.0888,0.1032,0.04,5000,0.00402279902555422
"quad","0.01",2000,10,0.1,"Xie",0.1528,0.1842,0.0799,5000,0.00508826414408686
"quad","0.02",2000,10,0.01,"DEF.poly2",0.7332,0.71,0.0091,5000,0.00625488225308838
"quad","0.02",2000,10,0.05,"DEF.poly2",0.8902,0.88,0.0464,5000,0.00442140158773211
"quad","0.02",2000,10,0.1,"DEF.poly2",0.936,0.928,0.097,5000,0.00346132922444543
"quad","0.02",2000,10,0.01,"DEF.poly3",0.6382,0.6214,0.0096,5000,0.00679559798693242
"quad","0.02",2000,10,0.05,"DEF.poly3",0.8162,0.8092,0.0465,5000,0.00547754616593964
"quad","0.02",2000,10,0.1,"DEF.poly3",0.8884,0.8862,0.0933,5000,0.00445298641363299
"quad","0.02",2000,10,0.01,"DEF.stukel",0.6524,0.6558,0.0111,5000,0.00673460080479905
"quad","0.02",2000,10,0.05,"DEF.stukel",0.8152,0.8352,0.0441,5000,0.00548906112190418
"quad","0.02",2000,10,0.1,"DEF.stukel",0.879,0.895,0.0925,5000,0.00461213616451206
"quad","0.02",2000,10,0.01,"EF",0.4066,0.397,0.0109,5000,0.00694660262286537
"quad","0.02",2000,10,0.05,"EF",0.614,0.61,0.0518,5000,0.00688482389026764
"quad","0.02",2000,10,0.1,"EF",0.7116,0.7098,0.1013,5000,0.0064066440512955
"quad","0.02",2000,10,0.01,"HL",0.4916,0.4808,0.0109,5000,0.00707006987235628
"quad","0.02",2000,10,0.05,"HL",0.6894,0.6852,0.0519,5000,0.00654412163701134
"quad","0.02",2000,10,0.1,"HL",0.776,0.7736,0.1013,5000,0.00589616824726025
"quad","0.02",2000,10,0.01,"HL-equalwidth",0.2204,0.3688,0.0099,5000,0.00586214704694449
"quad","0.02",2000,10,0.05,"HL-equalwidth",0.4484,0.6222,0.0498,5000,0.00703331273298721
"quad","0.02",2000,10,0.1,"HL-equalwidth",0.5774,0.7394,0.0997,5000,0.00698583194759221
"quad","0.02",2000,10,0.01,"Pigeon-Heyse",0.4276,0.4834,0.0066,5000,0.00699654543328349
"quad","0.02",2000,10,0.05,"Pigeon-Heyse",0.6294,0.6868,0.0326,5000,0.00683016310200569
"quad","0.02",2000,10,0.1,"Pigeon-Heyse",0.7212,0.776,0.0688,5000,0.00634145976885449
"quad","0.02",2000,10,0.01,"Stukel",0.8398,0.7724,0.0207,5000,0.00518721428128818
"quad","0.02",2000,10,0.05,"Stukel",0.9262,0.9078,0.0669,5000,0.00369739259478893
"quad","0.02",2000,10,0.1,"Stukel",0.9528,0.9492,0.1086,5000,0.00299907185642492
"quad","0.02",2000,10,0.01,"Tsiatis",0.4702,0.4834,0.0094,5000,0.00705849785719313
"quad","0.02",2000,10,0.05,"Tsiatis",0.6724,0.677,0.0478,5000,0.00663744288111016
"quad","0.02",2000,10,0.1,"Tsiatis",0.7602,0.7626,0.0989,5000,0.00603814474818218
"quad","0.02",2000,10,0.01,"Xie",0.458,0.4908,0.0073,5000,0.00704607692265703
"quad","0.02",2000,10,0.05,"Xie",0.6618,0.687,0.04,5000,0.00669060176665746
"quad","0.02",2000,10,0.1,"Xie",0.7548,0.7822,0.0799,5000,0.00608402761334956
"quad","0.03",2000,10,0.01,"DEF.poly2",0.9786,0.9748,0.0091,5000,0.00204656004065358
"quad","0.03",2000,10,0.05,"DEF.poly2",0.9958,0.9952,0.0464,5000,0.000914588432028307
"quad","0.03",2000,10,0.1,"DEF.poly2",0.9974,0.9972,0.097,5000,0.000720172201629589
"quad","0.03",2000,10,0.01,"DEF.poly3",0.962,0.9586,0.0096,5000,0.0027039230758289
"quad","0.03",2000,10,0.05,"DEF.poly3",0.9902,0.9896,0.0465,5000,0.0013931231101378
"quad","0.03",2000,10,0.1,"DEF.poly3",0.9964,0.9962,0.0933,5000,0.000846999409681028
"quad","0.03",2000,10,0.01,"DEF.stukel",0.9632,0.963,0.0111,5000,0.00266254614983478
"quad","0.03",2000,10,0.05,"DEF.stukel",0.987,0.989,0.0441,5000,0.0016019363283227
"quad","0.03",2000,10,0.1,"DEF.stukel",0.9924,0.9938,0.0925,5000,0.00122818891055082
"quad","0.03",2000,10,0.01,"EF",0.855,0.85,0.0109,5000,0.00497945780180935
"quad","0.03",2000,10,0.05,"EF",0.9466,0.9452,0.0518,5000,0.00317957355631223
"quad","0.03",2000,10,0.1,"EF",0.969,0.9686,0.1013,5000,0.00245108139399735
"quad","0.03",2000,10,0.01,"HL",0.906,0.9028,0.0109,5000,0.00412708129311745
"quad","0.03",2000,10,0.05,"HL",0.9664,0.9656,0.0519,5000,0.00254837359898426
"quad","0.03",2000,10,0.1,"HL",0.9822,0.982,0.1013,5000,0.00186992834087299
"quad","0.03",2000,10,0.01,"HL-equalwidth",0.6352,0.7438,0.0099,5000,0.0068076568656183
"quad","0.03",2000,10,0.05,"HL-equalwidth",0.8244,0.9024,0.0498,5000,0.00538079250668524
"quad","0.03",2000,10,0.1,"HL-equalwidth",0.897,0.9484,0.0997,5000,0.00429862768799532
"quad","0.03",2000,10,0.01,"Pigeon-Heyse",0.8782,0.9036,0.0066,5000,0.00462525156072618
"quad","0.03",2000,10,0.05,"Pigeon-Heyse",0.9558,0.9656,0.0326,5000,0.00290676314824583
"quad","0.03",2000,10,0.1,"Pigeon-Heyse",0.9728,0.9822,0.0688,5000,0.00230044169671826
"quad","0.03",2000,10,0.01,"Stukel",0.99,0.9838,0.0207,5000,0.00140712472794703
"quad","0.03",2000,10,0.05,"Stukel",0.9976,0.997,0.0669,5000,0.000691988439209783
"quad","0.03",2000,10,0.1,"Stukel",0.9992,0.999,0.1086,5000,0.000399839967987199
"quad","0.03",2000,10,0.01,"Tsiatis",0.8874,0.8946,0.0094,5000,0.00447037448095794
"quad","0.03",2000,10,0.05,"Tsiatis",0.9612,0.9634,0.0478,5000,0.00273110087693589
"quad","0.03",2000,10,0.1,"Tsiatis",0.98,0.9806,0.0989,5000,0.00197989898732233
"quad","0.03",2000,10,0.01,"Xie",0.889,0.9056,0.0073,5000,0.00444249929656719
"quad","0.03",2000,10,0.05,"Xie",0.9612,0.9662,0.04,5000,0.00273110087693589
"quad","0.03",2000,10,0.1,"Xie",0.9764,0.9806,0.0799,5000,0.00214676687136726
"quad","0.05",2000,10,0.01,"DEF.poly2",0.9996,0.9996,0.0091,5000,0.000282786138274123
"quad","0.05",2000,10,0.05,"DEF.poly2",1,1,0.0464,5000,0
"quad","0.05",2000,10,0.1,"DEF.poly2",1,1,0.097,5000,0
"quad","0.05",2000,10,0.01,"DEF.poly3",0.9992,0.999,0.0096,5000,0.000399839967987199
"quad","0.05",2000,10,0.05,"DEF.poly3",1,1,0.0465,5000,0
"quad","0.05",2000,10,0.1,"DEF.poly3",1,1,0.0933,5000,0
"quad","0.05",2000,10,0.01,"DEF.stukel",0.9994,0.9994,0.0111,5000,0.000346306222872199
"quad","0.05",2000,10,0.05,"DEF.stukel",1,1,0.0441,5000,0
"quad","0.05",2000,10,0.1,"DEF.stukel",1,1,0.0925,5000,0
"quad","0.05",2000,10,0.01,"EF",0.997,0.9966,0.0109,5000,0.000773433901506781
"quad","0.05",2000,10,0.05,"EF",0.9988,0.9986,0.0518,5000,0.000489603921552918
"quad","0.05",2000,10,0.1,"EF",0.9994,0.9994,0.1013,5000,0.000346306222872199
"quad","0.05",2000,10,0.01,"HL",0.9984,0.9984,0.0109,5000,0.00056523269544499
"quad","0.05",2000,10,0.05,"HL",0.9994,0.9994,0.0519,5000,0.000346306222872199
"quad","0.05",2000,10,0.1,"HL",0.9998,0.9998,0.1013,5000,0.000199979998999889
"quad","0.05",2000,10,0.01,"HL-equalwidth",0.9636,0.9762,0.0099,5000,0.00264858603787002
"quad","0.05",2000,10,0.05,"HL-equalwidth",0.9902,0.9952,0.0498,5000,0.0013931231101378
"quad","0.05",2000,10,0.1,"HL-equalwidth",0.996,0.9982,0.0997,5000,0.000892636544176856
"quad","0.05",2000,10,0.01,"Pigeon-Heyse",0.998,0.9984,0.0066,5000,0.000631822759957253
"quad","0.05",2000,10,0.05,"Pigeon-Heyse",0.9994,0.9994,0.0326,5000,0.000346306222872199
"quad","0.05",2000,10,0.1,"Pigeon-Heyse",0.9994,0.9998,0.0688,5000,0.000346306222872199
"quad","0.05",2000,10,0.01,"Stukel",1,1,0.0207,5000,0
"quad","0.05",2000,10,0.05,"Stukel",1,1,0.0669,5000,0
"quad","0.05",2000,10,0.1,"Stukel",1,1,0.1086,5000,0
"quad","0.05",2000,10,0.01,"Tsiatis",0.9982,0.9982,0.0094,5000,0.000599459756781058
"quad","0.05",2000,10,0.05,"Tsiatis",0.9992,0.9994,0.0478,5000,0.000399839967987199
"quad","0.05",2000,10,0.1,"Tsiatis",0.9998,0.9998,0.0989,5000,0.000199979998999889
"quad","0.05",2000,10,0.01,"Xie",0.9978,0.9982,0.0073,5000,0.000662594898863548
"quad","0.05",2000,10,0.05,"Xie",0.9996,0.9996,0.04,5000,0.000282786138274123
"quad","0.05",2000,10,0.1,"Xie",0.9998,0.9998,0.0799,5000,0.000199979998999889
"quad","0.1",2000,10,0.01,"DEF.poly2",1,1,0.0091,5000,0
"quad","0.1",2000,10,0.05,"DEF.poly2",1,1,0.0464,5000,0
"quad","0.1",2000,10,0.1,"DEF.poly2",1,1,0.097,5000,0
"quad","0.1",2000,10,0.01,"DEF.poly3",1,1,0.0096,5000,0
"quad","0.1",2000,10,0.05,"DEF.poly3",1,1,0.0465,5000,0
"quad","0.1",2000,10,0.1,"DEF.poly3",1,1,0.0933,5000,0
"quad","0.1",2000,10,0.01,"DEF.stukel",1,1,0.0111,5000,0
"quad","0.1",2000,10,0.05,"DEF.stukel",1,1,0.0441,5000,0
"quad","0.1",2000,10,0.1,"DEF.stukel",1,1,0.0925,5000,0
"quad","0.1",2000,10,0.01,"EF",1,1,0.0109,5000,0
"quad","0.1",2000,10,0.05,"EF",1,1,0.0518,5000,0
"quad","0.1",2000,10,0.1,"EF",1,1,0.1013,5000,0
"quad","0.1",2000,10,0.01,"HL",1,1,0.0109,5000,0
"quad","0.1",2000,10,0.05,"HL",1,1,0.0519,5000,0
"quad","0.1",2000,10,0.1,"HL",1,1,0.1013,5000,0
"quad","0.1",2000,10,0.01,"HL-equalwidth",1,1,0.0099,5000,0
"quad","0.1",2000,10,0.05,"HL-equalwidth",1,1,0.0498,5000,0
"quad","0.1",2000,10,0.1,"HL-equalwidth",1,1,0.0997,5000,0
"quad","0.1",2000,10,0.01,"Pigeon-Heyse",1,1,0.0066,5000,0
"quad","0.1",2000,10,0.05,"Pigeon-Heyse",1,1,0.0326,5000,0
"quad","0.1",2000,10,0.1,"Pigeon-Heyse",1,1,0.0688,5000,0
"quad","0.1",2000,10,0.01,"Stukel",1,1,0.0207,5000,0
"quad","0.1",2000,10,0.05,"Stukel",1,1,0.0669,5000,0
"quad","0.1",2000,10,0.1,"Stukel",1,1,0.1086,5000,0
"quad","0.1",2000,10,0.01,"Tsiatis",1,1,0.0094,5000,0
"quad","0.1",2000,10,0.05,"Tsiatis",1,1,0.0478,5000,0
"quad","0.1",2000,10,0.1,"Tsiatis",1,1,0.0989,5000,0
"quad","0.1",2000,10,0.01,"Xie",1,1,0.0073,5000,0
"quad","0.1",2000,10,0.05,"Xie",1,1,0.04,5000,0
"quad","0.1",2000,10,0.1,"Xie",1,1,0.0799,5000,0
"quad","0.2",2000,10,0.01,"DEF.poly2",1,1,0.0091,5000,0
"quad","0.2",2000,10,0.05,"DEF.poly2",1,1,0.0464,5000,0
"quad","0.2",2000,10,0.1,"DEF.poly2",1,1,0.097,5000,0
"quad","0.2",2000,10,0.01,"DEF.poly3",1,1,0.0096,5000,0
"quad","0.2",2000,10,0.05,"DEF.poly3",1,1,0.0465,5000,0
"quad","0.2",2000,10,0.1,"DEF.poly3",1,1,0.0933,5000,0
"quad","0.2",2000,10,0.01,"DEF.stukel",1,1,0.0111,5000,0
"quad","0.2",2000,10,0.05,"DEF.stukel",1,1,0.0441,5000,0
"quad","0.2",2000,10,0.1,"DEF.stukel",1,1,0.0925,5000,0
"quad","0.2",2000,10,0.01,"EF",1,1,0.0109,5000,0
"quad","0.2",2000,10,0.05,"EF",1,1,0.0518,5000,0
"quad","0.2",2000,10,0.1,"EF",1,1,0.1013,5000,0
"quad","0.2",2000,10,0.01,"HL",1,1,0.0109,5000,0
"quad","0.2",2000,10,0.05,"HL",1,1,0.0519,5000,0
"quad","0.2",2000,10,0.1,"HL",1,1,0.1013,5000,0
"quad","0.2",2000,10,0.01,"HL-equalwidth",1,1,0.0099,5000,0
"quad","0.2",2000,10,0.05,"HL-equalwidth",1,1,0.0498,5000,0
"quad","0.2",2000,10,0.1,"HL-equalwidth",1,1,0.0997,5000,0
"quad","0.2",2000,10,0.01,"Pigeon-Heyse",1,1,0.0066,5000,0
"quad","0.2",2000,10,0.05,"Pigeon-Heyse",1,1,0.0326,5000,0
"quad","0.2",2000,10,0.1,"Pigeon-Heyse",1,1,0.0688,5000,0
"quad","0.2",2000,10,0.01,"Stukel",1,1,0.0207,5000,0
"quad","0.2",2000,10,0.05,"Stukel",1,1,0.0669,5000,0
"quad","0.2",2000,10,0.1,"Stukel",1,1,0.1086,5000,0
"quad","0.2",2000,10,0.01,"Tsiatis",1,1,0.0094,5000,0
"quad","0.2",2000,10,0.05,"Tsiatis",1,1,0.0478,5000,0
"quad","0.2",2000,10,0.1,"Tsiatis",1,1,0.0989,5000,0
"quad","0.2",2000,10,0.01,"Xie",1,1,0.0073,5000,0
"quad","0.2",2000,10,0.05,"Xie",1,1,0.04,5000,0
"quad","0.2",2000,10,0.1,"Xie",1,1,0.0799,5000,0
"quad","0.4",2000,10,0.01,"DEF.poly2",1,1,0.0091,5000,0
"quad","0.4",2000,10,0.05,"DEF.poly2",1,1,0.0464,5000,0
"quad","0.4",2000,10,0.1,"DEF.poly2",1,1,0.097,5000,0
"quad","0.4",2000,10,0.01,"DEF.poly3",1,1,0.0096,5000,0
"quad","0.4",2000,10,0.05,"DEF.poly3",1,1,0.0465,5000,0
"quad","0.4",2000,10,0.1,"DEF.poly3",1,1,0.0933,5000,0
"quad","0.4",2000,10,0.01,"DEF.stukel",1,1,0.0111,5000,0
"quad","0.4",2000,10,0.05,"DEF.stukel",1,1,0.0441,5000,0
"quad","0.4",2000,10,0.1,"DEF.stukel",1,1,0.0925,5000,0
"quad","0.4",2000,10,0.01,"EF",1,1,0.0109,5000,0
"quad","0.4",2000,10,0.05,"EF",1,1,0.0518,5000,0
"quad","0.4",2000,10,0.1,"EF",1,1,0.1013,5000,0
"quad","0.4",2000,10,0.01,"HL",1,1,0.0109,5000,0
"quad","0.4",2000,10,0.05,"HL",1,1,0.0519,5000,0
"quad","0.4",2000,10,0.1,"HL",1,1,0.1013,5000,0
"quad","0.4",2000,10,0.01,"HL-equalwidth",1,1,0.0099,5000,0
"quad","0.4",2000,10,0.05,"HL-equalwidth",1,1,0.0498,5000,0
"quad","0.4",2000,10,0.1,"HL-equalwidth",1,1,0.0997,5000,0
"quad","0.4",2000,10,0.01,"Pigeon-Heyse",1,1,0.0066,5000,0
"quad","0.4",2000,10,0.05,"Pigeon-Heyse",1,1,0.0326,5000,0
"quad","0.4",2000,10,0.1,"Pigeon-Heyse",1,1,0.0688,5000,0
"quad","0.4",2000,10,0.01,"Stukel",1,1,0.0207,5000,0
"quad","0.4",2000,10,0.05,"Stukel",1,1,0.0669,5000,0
"quad","0.4",2000,10,0.1,"Stukel",1,1,0.1086,5000,0
"quad","0.4",2000,10,0.01,"Tsiatis",1,1,0.0094,5000,0
"quad","0.4",2000,10,0.05,"Tsiatis",1,1,0.0478,5000,0
"quad","0.4",2000,10,0.1,"Tsiatis",1,1,0.0989,5000,0
"quad","0.4",2000,10,0.01,"Xie",1,1,0.0073,5000,0
"quad","0.4",2000,10,0.05,"Xie",1,1,0.04,5000,0
"quad","0.4",2000,10,0.1,"Xie",1,1,0.0799,5000,0
"quad","0.01",5000,10,0.01,"DEF.poly2",0.1434,0.1124,0.0104,5000,0.00495653992216344
"quad","0.01",5000,10,0.05,"DEF.poly2",0.3246,0.2948,0.0481,5000,0.00662170431233531
"quad","0.01",5000,10,0.1,"DEF.poly2",0.442,0.4196,0.0982,5000,0.00702333254231921
"quad","0.01",5000,10,0.01,"DEF.poly3",0.0934,0.0734,0.0118,5000,0.0041152506606524
"quad","0.01",5000,10,0.05,"DEF.poly3",0.2462,0.2186,0.052,5000,0.00609238147196973
"quad","0.01",5000,10,0.1,"DEF.poly3",0.3584,0.3374,0.1009,5000,0.0067815844756222
"quad","0.01",5000,10,0.01,"DEF.stukel",0.0994,0.0972,0.0124,5000,0.00423130334530627
"quad","0.01",5000,10,0.05,"DEF.stukel",0.2468,0.2676,0.0501,5000,0.0060973725488935
"quad","0.01",5000,10,0.1,"DEF.stukel",0.3474,0.3738,0.0992,5000,0.00673369497378668
"quad","0.01",5000,10,0.01,"EF",0.0474,0.0448,0.0107,5000,0.00300510365877785
"quad","0.01",5000,10,0.05,"EF",0.1466,0.1482,0.0492,5000,0.00500216832983457
"quad","0.01",5000,10,0.1,"EF",0.2418,0.2434,0.0994,5000,0.0060552912398992
"quad","0.01",5000,10,0.01,"HL",0.0584,0.0526,0.0107,5000,0.00331630637909105
"quad","0.01",5000,10,0.05,"HL",0.1678,0.1706,0.0491,5000,0.00528475467737151
"quad","0.01",5000,10,0.1,"HL",0.2736,0.2756,0.0987,5000,0.00630464971271204
"quad","0.01",5000,10,0.01,"HL-equalwidth",0.0354,0.079,0.0104,5000,0.00261330595223751
"quad","0.01",5000,10,0.05,"HL-equalwidth",0.1182,0.2354,0.0509,5000,0.00456571483997851
"quad","0.01",5000,10,0.1,"HL-equalwidth",0.1974,0.3686,0.0989,5000,0.00562908944679333
"quad","0.01",5000,10,0.01,"Pigeon-Heyse",0.0392,0.0534,0.0062,5000,0.0027445713690848
"quad","0.01",5000,10,0.05,"Pigeon-Heyse",0.1218,0.1726,0.0318,5000,0.00462525156072618
"quad","0.01",5000,10,0.1,"Pigeon-Heyse",0.2054,0.2778,0.0631,5000,0.0057133324776351
"quad","0.01",5000,10,0.01,"Stukel",0.2326,0.1394,0.0238,5000,0.00597490150546434
"quad","0.01",5000,10,0.05,"Stukel",0.3892,0.3324,0.0687,5000,0.00689526446193328
"quad","0.01",5000,10,0.1,"Stukel",0.4898,0.463,0.1166,5000,0.0070695963109643
"quad","0.01",5000,10,0.01,"Tsiatis",0.0506,0.0488,0.0109,5000,0.00309966578843591
"quad","0.01",5000,10,0.05,"Tsiatis",0.1588,0.1632,0.0483,5000,0.0051688017953874
"quad","0.01",5000,10,0.1,"Tsiatis",0.255,0.254,0.1007,5000,0.00616400843607469
"quad","0.01",5000,10,0.01,"Xie",0.0472,0.0576,0.0066,5000,0.00299907185642492
"quad","0.01",5000,10,0.05,"Xie",0.1508,0.1748,0.0397,5000,0.0050608173252944
"quad","0.01",5000,10,0.1,"Xie",0.235,0.2648,0.082,5000,0.005996248827392
"quad","0.02",5000,10,0.01,"DEF.poly2",0.992,0.988,0.0104,5000,0.00125984125984189
"quad","0.02",5000,10,0.05,"DEF.poly2",0.9986,0.9986,0.0481,5000,0.000528779727296718
"quad","0.02",5000,10,0.1,"DEF.poly2",0.9992,0.9992,0.0982,5000,0.000399839967987199
"quad","0.02",5000,10,0.01,"DEF.poly3",0.9806,0.9756,0.0118,5000,0.00195057119839292
"quad","0.02",5000,10,0.05,"DEF.poly3",0.9968,0.9956,0.052,5000,0.000798718974358313
"quad","0.02",5000,10,0.1,"DEF.poly3",0.999,0.9986,0.1009,5000,0.00044698993277254
"quad","0.02",5000,10,0.01,"DEF.stukel",0.9784,0.9756,0.0124,5000,0.00205589104769684
"quad","0.02",5000,10,0.05,"DEF.stukel",0.995,0.9956,0.0501,5000,0.000997496867163001
"quad","0.02",5000,10,0.1,"DEF.stukel",0.998,0.9986,0.0992,5000,0.000631822759957253
"quad","0.02",5000,10,0.01,"EF",0.9192,0.9156,0.0107,5000,0.00385412402498934
"quad","0.02",5000,10,0.05,"EF",0.973,0.9732,0.0492,5000,0.00229220417938717
"quad","0.02",5000,10,0.1,"EF",0.985,0.9854,0.0994,5000,0.00171901134376711
"quad","0.02",5000,10,0.01,"HL",0.9372,0.9348,0.0107,5000,0.00343092290790685
"quad","0.02",5000,10,0.05,"HL",0.9798,0.9802,0.0491,5000,0.0019895708079885
"quad","0.02",5000,10,0.1,"HL",0.9904,0.9904,0.0987,5000,0.00137897353129058
"quad","0.02",5000,10,0.01,"HL-equalwidth",0.7592,0.866,0.0104,5000,0.00604674060961771
"quad","0.02",5000,10,0.05,"HL-equalwidth",0.909,0.9602,0.0509,5000,0.00406740703642997
"quad","0.02",5000,10,0.1,"HL-equalwidth",0.951,0.9828,0.0989,5000,0.00305283474822991
"quad","0.02",5000,10,0.01,"Pigeon-Heyse",0.9168,0.9352,0.0062,5000,0.00390583563402251
"quad","0.02",5000,10,0.05,"Pigeon-Heyse",0.9716,0.9806,0.0318,5000,0.00234918879615922
"quad","0.02",5000,10,0.1,"Pigeon-Heyse",0.984,0.9906,0.0631,5000,0.00177448584102551
"quad","0.02",5000,10,0.01,"Stukel",0.9978,0.9942,0.0238,5000,0.000662594898863548
"quad","0.02",5000,10,0.05,"Stukel",0.9994,0.999,0.0687,5000,0.000346306222872199
"quad","0.02",5000,10,0.1,"Stukel",0.9996,0.9994,0.1166,5000,0.000282786138274123
"quad","0.02",5000,10,0.01,"Tsiatis",0.9316,0.9288,0.0109,5000,0.00356991428468528
"quad","0.02",5000,10,0.05,"Tsiatis",0.9776,0.9784,0.0483,5000,0.00209276085590303
"quad","0.02",5000,10,0.1,"Tsiatis",0.9872,0.987,0.1007,5000,0.0015897270205919
"quad","0.02",5000,10,0.01,"Xie",0.927,0.9382,0.0066,5000,0.00367888570086106
"quad","0.02",5000,10,0.05,"Xie",0.9756,0.978,0.0397,5000,0.00218195508661384
"quad","0.02",5000,10,0.1,"Xie",0.9866,0.9884,0.082,5000,0.00162606518934512
"quad","0.03",5000,10,0.01,"DEF.poly2",1,1,0.0104,5000,0
"quad","0.03",5000,10,0.05,"DEF.poly2",1,1,0.0481,5000,0
"quad","0.03",5000,10,0.1,"DEF.poly2",1,1,0.0982,5000,0
"quad","0.03",5000,10,0.01,"DEF.poly3",1,1,0.0118,5000,0
"quad","0.03",5000,10,0.05,"DEF.poly3",1,1,0.052,5000,0
"quad","0.03",5000,10,0.1,"DEF.poly3",1,1,0.1009,5000,0
"quad","0.03",5000,10,0.01,"DEF.stukel",1,1,0.0124,5000,0
"quad","0.03",5000,10,0.05,"DEF.stukel",1,1,0.0501,5000,0
"quad","0.03",5000,10,0.1,"DEF.stukel",1,1,0.0992,5000,0
"quad","0.03",5000,10,0.01,"EF",0.9996,0.9996,0.0107,5000,0.000282786138274123
"quad","0.03",5000,10,0.05,"EF",1,1,0.0492,5000,0
"quad","0.03",5000,10,0.1,"EF",1,1,0.0994,5000,0
"quad","0.03",5000,10,0.01,"HL",1,0.9998,0.0107,5000,0
"quad","0.03",5000,10,0.05,"HL",1,1,0.0491,5000,0
"quad","0.03",5000,10,0.1,"HL",1,1,0.0987,5000,0
"quad","0.03",5000,10,0.01,"HL-equalwidth",0.9934,0.9968,0.0104,5000,0.00114511484140239
"quad","0.03",5000,10,0.05,"HL-equalwidth",0.9984,0.9996,0.0509,5000,0.00056523269544499
"quad","0.03",5000,10,0.1,"HL-equalwidth",0.9998,0.9998,0.0989,5000,0.000199979998999889
"quad","0.03",5000,10,0.01,"Pigeon-Heyse",0.9996,0.9998,0.0062,5000,0.000282786138274123
"quad","0.03",5000,10,0.05,"Pigeon-Heyse",1,1,0.0318,5000,0
"quad","0.03",5000,10,0.1,"Pigeon-Heyse",1,1,0.0631,5000,0
"quad","0.03",5000,10,0.01,"Stukel",1,1,0.0238,5000,0
"quad","0.03",5000,10,0.05,"Stukel",1,1,0.0687,5000,0
"quad","0.03",5000,10,0.1,"Stukel",1,1,0.1166,5000,0
"quad","0.03",5000,10,0.01,"Tsiatis",1,1,0.0109,5000,0
"quad","0.03",5000,10,0.05,"Tsiatis",1,1,0.0483,5000,0
"quad","0.03",5000,10,0.1,"Tsiatis",1,1,0.1007,5000,0
"quad","0.03",5000,10,0.01,"Xie",1,1,0.0066,5000,0
"quad","0.03",5000,10,0.05,"Xie",1,1,0.0397,5000,0
"quad","0.03",5000,10,0.1,"Xie",1,1,0.082,5000,0
"quad","0.05",5000,10,0.01,"DEF.poly2",1,1,0.0104,5000,0
"quad","0.05",5000,10,0.05,"DEF.poly2",1,1,0.0481,5000,0
"quad","0.05",5000,10,0.1,"DEF.poly2",1,1,0.0982,5000,0
"quad","0.05",5000,10,0.01,"DEF.poly3",1,1,0.0118,5000,0
"quad","0.05",5000,10,0.05,"DEF.poly3",1,1,0.052,5000,0
"quad","0.05",5000,10,0.1,"DEF.poly3",1,1,0.1009,5000,0
"quad","0.05",5000,10,0.01,"DEF.stukel",1,1,0.0124,5000,0
"quad","0.05",5000,10,0.05,"DEF.stukel",1,1,0.0501,5000,0
"quad","0.05",5000,10,0.1,"DEF.stukel",1,1,0.0992,5000,0
"quad","0.05",5000,10,0.01,"EF",1,1,0.0107,5000,0
"quad","0.05",5000,10,0.05,"EF",1,1,0.0492,5000,0
"quad","0.05",5000,10,0.1,"EF",1,1,0.0994,5000,0
"quad","0.05",5000,10,0.01,"HL",1,1,0.0107,5000,0
"quad","0.05",5000,10,0.05,"HL",1,1,0.0491,5000,0
"quad","0.05",5000,10,0.1,"HL",1,1,0.0987,5000,0
"quad","0.05",5000,10,0.01,"HL-equalwidth",1,1,0.0104,5000,0
"quad","0.05",5000,10,0.05,"HL-equalwidth",1,1,0.0509,5000,0
"quad","0.05",5000,10,0.1,"HL-equalwidth",1,1,0.0989,5000,0
"quad","0.05",5000,10,0.01,"Pigeon-Heyse",1,1,0.0062,5000,0
