"family","param","n","G","alpha","test","reject_rate","power_size_adj","size_at_cell","B","mcse"
"quad","0.02",200,10,0.01,"Tsiatis",0.0838,0.0882,0.009,10000,0.00277087639565535
"quad","0.02",200,10,0.05,"Tsiatis",0.1721,0.1795,0.0453,10000,0.00377467336335212
"quad","0.02",200,10,0.1,"Tsiatis",0.2474,0.255,0.0955,10000,0.00431501147159541
"quad","0.02",200,10,0.01,"Xie",0.0766,0.0911,0.0058,10000,0.00265955710598588
"quad","0.02",200,10,0.05,"Xie",0.1577,0.1837,0.0363,10000,0.00364459476485384
"quad","0.02",200,10,0.1,"Xie",0.2269,0.2584,0.0758,10000,0.00418827398817222
"quad","0.03",200,10,0.01,"DEF.poly2",0.159,0.1255,0.0118,10000,0.00365676086174636
"quad","0.03",200,10,0.05,"DEF.poly2",0.3248,0.2989,0.0506,10000,0.0046830007473841
"quad","0.03",200,10,0.1,"DEF.poly2",0.4376,0.4176,0.0997,10000,0.004960909594016
"quad","0.03",200,10,0.01,"DEF.poly3",0.1263,0.1208,0.0089,10000,0.00332187161100486
"quad","0.03",200,10,0.05,"DEF.poly3",0.273,0.2547,0.0502,10000,0.00445500841750047
"quad","0.03",200,10,0.1,"DEF.poly3",0.3764,0.3624,0.0987,10000,0.00484482239096543
"quad","0.03",200,10,0.01,"DEF.stukel",0.2124,0.2261,0.0083,10000,0.00409006405817806
"quad","0.03",200,10,0.05,"DEF.stukel",0.3285,0.3386,0.0486,10000,0.00469667701678538
"quad","0.03",200,10,0.1,"DEF.stukel",0.4063,0.418,0.0985,10000,0.00491141843055547
"quad","0.03",200,10,0.01,"EF",0.0607,0.0621,0.0091,10000,0.00238779207637516
"quad","0.03",200,10,0.05,"EF",0.1404,0.1458,0.0469,10000,0.00347401554400668
"quad","0.03",200,10,0.1,"EF",0.2096,0.2128,0.0968,10000,0.00407023144305087
"quad","0.03",200,10,0.01,"HL",0.1569,0.1599,0.0097,10000,0.00363706461311866
"quad","0.03",200,10,0.05,"HL",0.2845,0.2962,0.0465,10000,0.00451175963455501
"quad","0.03",200,10,0.1,"HL",0.3758,0.3795,0.0977,10000,0.00484328772632806
"quad","0.03",200,10,0.01,"HL-equalwidth",0.0159,0.0329,0.0088,10000,0.00125088728509007
"quad","0.03",200,10,0.05,"HL-equalwidth",0.0801,0.1422,0.0502,10000,0.00271447950811937
"quad","0.03",200,10,0.1,"HL-equalwidth",0.1525,0.2454,0.0992,10000,0.00359504867839088
"quad","0.03",200,10,0.01,"Pigeon-Heyse",0.1269,0.1606,0.005,10000,0.00332860916900738
"quad","0.03",200,10,0.05,"Pigeon-Heyse",0.2379,0.2975,0.0289,10000,0.00425797592759752
"quad","0.03",200,10,0.1,"Pigeon-Heyse",0.3186,0.3807,0.0622,10000,0.0046593351457048
"quad","0.03",200,10,0.01,"Stukel",0.2413,0.1556,0.0247,10000,0.00427871838288056
"quad","0.03",200,10,0.05,"Stukel",0.3898,0.3444,0.0699,10000,0.00487704787755872
"quad","0.03",200,10,0.1,"Stukel",0.4776,0.4486,0.1161,10000,0.00499497987983936
"quad","0.03",200,10,0.01,"Tsiatis",0.1538,0.1617,0.009,10000,0.00360756926475432
"quad","0.03",200,10,0.05,"Tsiatis",0.2809,0.2904,0.0453,10000,0.00449438749998262
"quad","0.03",200,10,0.1,"Tsiatis",0.3728,0.3833,0.0955,10000,0.00483549542446273
"quad","0.03",200,10,0.01,"Xie",0.1493,0.1736,0.0058,10000,0.00356383936226087
"quad","0.03",200,10,0.05,"Xie",0.2692,0.3047,0.0363,10000,0.00443544090254847
"quad","0.03",200,10,0.1,"Xie",0.3589,0.3946,0.0758,10000,0.00479677798110357
"quad","0.05",200,10,0.01,"DEF.poly2",0.347,0.298,0.0118,10000,0.00476015756041751
"quad","0.05",200,10,0.05,"DEF.poly2",0.5515,0.5301,0.0506,10000,0.00497340678006535
