"scenario","shape","n","G","alpha","test","reject_rate","mcse","B","A_delta","mcse_diff_vs_HL","mcse_diff_vs_EF"
"crossover",NA,2000,10,0.1,"EF",0.134,0.00481755124518671,5000,0.0052515814601584,0.000565685424949238,0
"crossover",NA,2000,10,0.01,"HL",0.0166,0.00180690010791964,5000,0.0052515814601584,0,0
"crossover",NA,2000,10,0.05,"HL",0.0692,0.00358918820905229,5000,0.0052515814601584,0,0.000346410161513775
"crossover",NA,2000,10,0.1,"HL",0.1344,0.00482362187572782,5000,0.0052515814601584,0,0.000565685424949238
"crossover",NA,2000,10,0.01,"HL-equalwidth",0.0316,0.00247392158323581,5000,0.0052515814601584,0.00266082693913001,0.00266082693913001
"crossover",NA,2000,10,0.05,"HL-equalwidth",0.1066,0.00436431987828573,5000,0.0052515814601584,0.0047116875957559,0.00470744091837593
"crossover",NA,2000,10,0.1,"HL-equalwidth",0.1758,0.00538320276415444,5000,0.0052515814601584,0.00584807660688538,0.00584123274660409
"crossover",NA,2000,10,0.01,"Pigeon-Heyse",0.0116,0.00151429455523026,5000,0.0052515814601584,0.001,0.001
"crossover",NA,2000,10,0.05,"Pigeon-Heyse",0.0468,0.00298696367570816,5000,0.0052515814601584,0.00211660104885167,0.00212602916254693
"crossover",NA,2000,10,0.1,"Pigeon-Heyse",0.0894,0.00403503754629371,5000,0.0052515814601584,0.003,0.00298663690461362
"crossover",NA,2000,10,0.01,"Stukel",0.0536,0.00318518570887162,5000,0.0052515814601584,0.00337638860322683,0.00337638860322683
"crossover",NA,2000,10,0.05,"Stukel",0.1308,0.00476846642013971,5000,0.0052515814601584,0.00529150262212918,0.00529528091794949
"crossover",NA,2000,10,0.1,"Stukel",0.1888,0.00553452003339043,5000,0.0052515814601584,0.00644980619863884,0.00644980619863884
"crossover",NA,2000,10,0.01,"Tsiatis",0.9962,0.000870121830550185,5000,0.0052515814601584,0.0139971425655382,0.0139971425655382
"crossover",NA,2000,10,0.05,"Tsiatis",0.9996,0.000282786138274123,5000,0.0052515814601584,0.0136411143239839,0.013639648089302
"crossover",NA,2000,10,0.1,"Tsiatis",1,0,5000,0.0052515814601584,0.0131575073627188,0.0131605471010897
"crossover",NA,2000,10,0.01,"Xie",0.9944,0.00105533312276267,5000,0.0052515814601584,0.0139842768851307,0.0139842768851307
"crossover",NA,2000,10,0.05,"Xie",0.9992,0.000399839967987199,5000,0.0052515814601584,0.0136381816969859,0.0136367151469846
"crossover",NA,2000,10,0.1,"Xie",0.9998,0.000199979998999889,5000,0.0052515814601584,0.0131559872301549,0.0131590273196768
"osc4","osc4",1000,10,0.01,"DEF.poly2",0.0208,0.00201828441999635,5000,0.100239728337386,0.0139942845476287,0.0139942845476287
"osc4","osc4",1000,10,0.05,"DEF.poly2",0.074,0.00370199945975145,5000,0.100239728337386,0.0136088206689632,0.0136088206689632
"osc4","osc4",1000,10,0.1,"DEF.poly2",0.1338,0.00481451056702548,5000,0.100239728337386,0.0131620667070183,0.0131620667070183
"osc4","osc4",1000,10,0.01,"DEF.poly3",0.3094,0.00653714983765861,5000,0.100239728337386,0.0117524465538032,0.0117524465538032
"osc4","osc4",1000,10,0.05,"DEF.poly3",0.5172,0.00706688276399149,5000,0.100239728337386,0.0098264947972306,0.0098264947972306
"osc4","osc4",1000,10,0.1,"DEF.poly3",0.624,0.00685016788115445,5000,0.100239728337386,0.00867179335547152,0.00867179335547152
"osc4","osc4",1000,10,0.01,"DEF.stukel",0.467,0.00705565021808763,5000,0.100239728337386,0.0103247275993122,0.0103247275993122
"osc4","osc4",1000,10,0.05,"DEF.stukel",0.6612,0.00669349774034473,5000,0.100239728337386,0.00823164625090267,0.00823164625090267
"osc4","osc4",1000,10,0.1,"DEF.stukel",0.751,0.0061155375887979,5000,0.100239728337386,0.00705691150575094,0.00705691150575094
"osc4","osc4",1000,10,0.01,"EF",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.05,"EF",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.1,"EF",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.01,"HL",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.05,"HL",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.1,"HL",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.01,"HL-equalwidth",0.9968,0.000798718974358313,5000,0.100239728337386,8e-04,8e-04
"osc4","osc4",1000,10,0.05,"HL-equalwidth",0.999,0.00044698993277254,5000,0.100239728337386,0.000447213595499958,0.000447213595499958
"osc4","osc4",1000,10,0.1,"HL-equalwidth",0.9994,0.000346306222872199,5000,0.100239728337386,0.000346410161513775,0.000346410161513775
"osc4","osc4",1000,10,0.01,"Pigeon-Heyse",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.05,"Pigeon-Heyse",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.1,"Pigeon-Heyse",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.01,"Stukel",0.0656,0.00350133231784702,5000,0.100239728337386,0.013670405992508,0.013670405992508
"osc4","osc4",1000,10,0.05,"Stukel",0.1822,0.00545899551199669,5000,0.100239728337386,0.0127890578229985,0.0127890578229985
"osc4","osc4",1000,10,0.1,"Stukel",0.2848,0.00638261639141818,5000,0.100239728337386,0.0119599331101808,0.0119599331101808
"osc4","osc4",1000,10,0.01,"Tsiatis",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.05,"Tsiatis",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.1,"Tsiatis",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.01,"Xie",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.05,"Xie",1,0,5000,0.100239728337386,0,0
"osc4","osc4",1000,10,0.1,"Xie",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.01,"DEF.poly2",0.0198,0.00197017562668915,5000,0.100239728337386,0.0140014284985497,0.0140014284985497
"osc4","osc4",2000,10,0.05,"DEF.poly2",0.0788,0.00381026403284602,5000,0.100239728337386,0.0135735036007657,0.0135735036007657
"osc4","osc4",2000,10,0.1,"DEF.poly2",0.1402,0.0049100704679261,5000,0.100239728337386,0.0131133519742284,0.0131133519742284
"osc4","osc4",2000,10,0.01,"DEF.poly3",0.6354,0.00680686183200453,5000,0.100239728337386,0.00853932081608368,0.00853932081608368
"osc4","osc4",2000,10,0.05,"DEF.poly3",0.8166,0.00547292316774135,5000,0.100239728337386,0.00605640157189069,0.00605640157189069
"osc4","osc4",2000,10,0.1,"DEF.poly3",0.8848,0.00451506279026106,5000,0.100239728337386,0.0048,0.0048
"osc4","osc4",2000,10,0.01,"DEF.stukel",0.8286,0.00532957859497353,5000,0.100239728337386,0.00585491246732178,0.00585491246732178
"osc4","osc4",2000,10,0.05,"DEF.stukel",0.928,0.00365557109081467,5000,0.100239728337386,0.00379473319220206,0.00379473319220206
"osc4","osc4",2000,10,0.1,"DEF.stukel",0.957,0.00286883251515316,5000,0.100239728337386,0.00293257565972304,0.00293257565972304
"osc4","osc4",2000,10,0.01,"EF",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.05,"EF",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.1,"EF",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.01,"HL",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.05,"HL",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.1,"HL",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.01,"HL-equalwidth",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.05,"HL-equalwidth",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.1,"HL-equalwidth",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.01,"Pigeon-Heyse",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.05,"Pigeon-Heyse",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.1,"Pigeon-Heyse",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.01,"Stukel",0.1186,0.004572396308283,5000,0.100239728337386,0.0132770478646422,0.0132770478646422
"osc4","osc4",2000,10,0.05,"Stukel",0.3264,0.00663118450957293,5000,0.100239728337386,0.0116068945028375,0.0116068945028375
"osc4","osc4",2000,10,0.1,"Stukel",0.487,0.00706867738689495,5000,0.100239728337386,0.0101291658096805,0.0101291658096805
"osc4","osc4",2000,10,0.01,"Tsiatis",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.05,"Tsiatis",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.1,"Tsiatis",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.01,"Xie",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.05,"Xie",1,0,5000,0.100239728337386,0,0
"osc4","osc4",2000,10,0.1,"Xie",1,0,5000,0.100239728337386,0,0
